battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,kits,BRL,Neosolar,NEO-22506,,,,,1,"Kit Gerador Energia Solar 1,66 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel ReneSola (Mini Trilho)",,,0,66,66.0,1665,0,,,draft,Solar Kit|Neosolar,0,1,69,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22192,,,,,1,"Kit Gerador Energia Solar 2,32 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,32,32.0,2320,0,,,draft,Solar Kit|Neosolar,0,1,36,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21923,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA Com Estrutura",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22421,,,,,1,"Kit Gerador Energia Solar 1,74 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Mini Trilho)",,,0,74,74.0,1740,0,,,draft,Solar Kit|Neosolar,0,1,77,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22347,,,,,1,"Kit Gerador Energia Solar 1,78 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen - Estrutura Metálica",,,0,78,78.0,1785,0,,,draft,Solar Kit|Neosolar,0,1,81,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21235,,,,,1,"Kit Gerador Energia Solar 2,32 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (cerâmica)",,,0,32,32.0,2320,0,,,draft,Solar Kit|Neosolar,0,1,36,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21260,,,,,1,"Kit Gerador Energia Solar 0,58 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Mini Trilho)",,,0,58,58.0,580,0,,,draft,Solar Kit|Neosolar,0,1,59,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22341,,,,,1,"Kit Gerador Energia Solar 1,19 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen - Estrutura Para Laje",,,0,19,19.0,1190,0,,,draft,Solar Kit|Neosolar,0,1,21,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22345,,,,,1,"Kit Gerador Energia Solar 1,78 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen - Estrutura Cerâmica",,,0,78,78.0,1785,0,,,draft,Solar Kit|Neosolar,0,1,81,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22343,,,,,1,"Kit Gerador Energia Solar 1,19 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen - Estrutura Mini Trilho",,,0,19,19.0,1190,0,,,draft,Solar Kit|Neosolar,0,1,21,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21724,,,,,1,"Kit Gerador Energia Solar 2,32 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Metálica)",,,0,32,32.0,2320,0,,,draft,Solar Kit|Neosolar,0,1,36,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21723,,,,,1,"Kit Gerador Energia Solar 2,32 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Madeira)",,,0,32,32.0,2320,0,,,draft,Solar Kit|Neosolar,0,1,36,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21283,,,,,1,"Kit Gerador Energia Solar 1,19 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen Com Estrutura",,,0,19,19.0,1190,0,,,draft,Solar Kit|Neosolar,0,1,21,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21126,,,,,1,"Kit Gerador Energia Solar 1,19 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen Com Estrtura",,,0,19,19.0,1190,0,,,draft,Solar Kit|Neosolar,0,1,21,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21127,,,,,1,"Kit Gerador Energia Solar 1,15 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Mini Trilho)",,,0,15,15.0,1150,0,,,draft,Solar Kit|Neosolar,0,1,17,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21398,,,,,1,"Kit Gerador Energia Solar 0,57 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Madeira)",,,0,57,57.0,575,0,,,draft,Solar Kit|Neosolar,0,1,58,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-21117,,,,,1,"Kit Gerador Energia Solar 0,59 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen (sem estrutur",,,0,595,59.0,595,0,,,draft,Solar Kit|Neosolar,0,1,596,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-24690,,,,,1,"Kit Gerador Energia Solar  2,44kWp - Microinversor Deye c/ Wifi SUN2250 - Painel Sunova | P/ Madeira",,,0,1,44.0,2440,0,,,draft,Solar Kit|Neosolar,0,1,5,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-24693,,,,,1,"Kit Gerador Energia Solar  1,22kWp - Microinversor Deye c/ Wifi SUN2250 - Painel Sunova | S/ Estrutura",,,0,1,22.0,1220,0,,,draft,Solar Kit|Neosolar,0,1,3,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-24694,,,,,1,"Kit Gerador Energia Solar  1,83kWp - Microinversor Deye c/ Wifi SUN2250 - Painel Sunova | S/ Estrutura",,,0,1,83.0,1830,0,,,draft,Solar Kit|Neosolar,0,1,4,0,Solar Kit Grid-Tie
